ENSEMBL,RNAseq_MEAN,RNAseq_SD,RNAseq_VAR,RNAseq_CV,RNAseq_FF,RNAseq_GC,scRNAseq_MEAN,scRNAseq_SD,scRNAseq_VAR,scRNAseq_CV,scRNAseq_FF,scRNAseq_GC
ENSG00000000003,1.09757128698655,0.228723969356868,0.0523146541583614,0.208390992064709,0.0476640148832559,0.117758402717038,0.000805013201627615,0.0186086830606546,0.000346283085251895,23.1159973811991,0.430158268897656,0.998327108960083
ENSG00000000419,4.09613008687419,0.141483960669385,0.0200177111266961,0.0345408855843622,0.00488698129750363,0.0186711665466144,0.0175677997397032,0.0924205750320112,0.00854156268924762,5.26079397541974,0.486205604333233,0.96815553363799
ENSG00000000457,2.81096285475113,0.10656056995813,0.0113551550698015,0.0379089214138918,0.00403959627236226,0.0212724545952859,0.0028892209368175,0.0390467119649659,0.00152464571527501,13.5146161608451,0.527701324549593,0.994853975254068
ENSG00000000460,1.55451652976666,0.155457435346013,0.0241670142043599,0.100003719722007,0.0155463217930448,0.05309869309397,0.000841154922800887,0.0208272332870753,0.000433773646394256,24.7602822292527,0.515688174242471,0.998535622206626
ENSG00000000938,0.647847250577987,0.474259116430954,0.224921709517869,0.732053915499119,0.347183243144433,0.360771988547807,0.00044664670564457,0.0181741683863939,0.000330300396537001,40.690255086884,0.739511547634352,0.999451047541549
ENSG00000001036,1.65710946679032,0.114947867295834,0.0132130121958607,0.0693664900234253,0.0079735300899905,0.0392028860617304,0.00100938903508662,0.0299204574459572,0.000895233773775333,29.6421462943566,0.886906576807133,0.998689756814631
ENSG00000001084,1.9400102170644,0.105014195610637,0.0110279812797491,0.0541307435841976,0.00568449649530015,0.0305074240004184,0.000526227457984195,0.0150167792034706,0.000225503657645788,28.5366697910348,0.428528869454321,0.998899847766442
ENSG00000001167,3.20195576115313,0.201272368972937,0.0405105665119782,0.0628591973114746,0.0126518195546178,0.0315765860648971,0.00141730897822621,0.0251688118201263,0.000633469088436931,17.7581686186914,0.446952004233918,0.997170183549526
ENSG00000001460,0.931309963444876,0.121880818468809,0.0148549339106269,0.1308703044666,0.0159505798216515,0.0709725297810251,0.00243043207192398,0.0347573883053576,0.00120807604180941,14.3009091703777,0.497062253154467,0.995566729965215
ENSG00000001461,3.30710303987207,0.0982151432257175,0.00964621435884821,0.0296982410410523,0.00291681699739883,0.016231739119784,0.00958999034615393,0.0680148977418845,0.00462602631483901,7.0922801052831,0.482380706117632,0.982472004817735
ENSG00000001497,3.0029813628757,0.132652304009751,0.0175966337590953,0.0441735355569175,0.00585972126788175,0.0238302566664271,0.00887352010498279,0.0661421952833786,0.00437478999690459,7.45388464790173,0.493016294001294,0.984002871408157
ENSG00000001561,2.4503442928086,0.207889132375307,0.0432178913597581,0.0848407846135874,0.017637477103359,0.0463676028147551,0.000854087253394025,0.0207114704245767,0.000428965007148115,24.249829677556,0.502249630167722,0.998481092943713
ENSG00000001629,3.40142670387684,0.126341908383768,0.0159622778140524,0.037143798583038,0.00469281839760331,0.0189555102896098,0.00113649051819846,0.0228817367468491,0.000523573876552105,20.1336802907258,0.460693572157612,0.997786536665055
ENSG00000001630,0.471756027984402,0.0992177700125475,0.00984416588626277,0.210315849988096,0.0208670696341124,0.118143411163204,9.36715693773889e-05,0.00628344658638457,3.94817010039479e-05,67.0795485561845,0.421490760391575,0.999782481628419
ENSG00000001631,3.17617841692729,0.116501545580217,0.0135726101225795,0.0366797862989459,0.00427325179537928,0.0197053105496238,0.00501609470738667,0.0474125603698481,0.00224795088082449,9.45208636113442,0.448147615218303,0.990084344789351
ENSG00000002016,2.42807578086252,0.134031384562515,0.0179644120477447,0.055200659558864,0.00739862082943856,0.03060284339131,0.000752003133241119,0.019611666802318,0.000384617474765143,26.0792354917354,0.511457276923101,0.998637018504948
ENSG00000002330,1.81027556373737,0.229053072691395,0.0524653101093695,0.126529395457622,0.0289819468153528,0.0656095594426035,0.0185353942111949,0.0961568823185413,0.00924614601722181,5.18774411932739,0.498837300780869,0.967242503157943
ENSG00000002549,2.80034369069106,0.117241357186113,0.0137455358348417,0.0418667742734038,0.0049085174368185,0.0230225109392736,0.0100297366262979,0.068369203055358,0.00467434792642477,6.81664988850203,0.466048920384278,0.980849438443597
ENSG00000002822,2.77406331566677,0.191583477049081,0.0367042286782159,0.0690624024214216,0.0132312151892588,0.0377317754325261,0.0478726853710266,0.154341351844226,0.0238212528891032,3.22399611904028,0.497595919353215,0.920827292111439
ENSG00000002834,3.25081956418985,0.136212302129119,0.0185537912513144,0.0419009112746819,0.00570741958603238,0.0229429068604081,0.0106453777322109,0.0702357420154961,0.00493305945646733,6.59776888921245,0.463399193580592,0.979674613375245
ENSG00000002919,2.78702167363928,0.0982614484838641,0.00965531225814707,0.0352567938072598,0.00346438362839827,0.0198884023049642,0.003476672490458,0.0417726065818447,0.00174495066064158,12.015111200866,0.501902513230893,0.993764738769136
ENSG00000003056,3.78888634884649,0.140068898087182,0.0196192962113574,0.0369683556567552,0.00517811684093675,0.0206024564845637,0.0178781754715076,0.0902953932522176,0.00815325804257262,5.05059329997745,0.456045308178479,0.966194552265003
ENSG00000003096,0.388521821267442,0.125034688034801,0.01563367321196,0.321821532769796,0.0402388549527528,0.181073432305194,0.000437888552174017,0.0142049149300814,0.00020177960817085,32.4395667791661,0.46080128646675,0.99914211222081
ENSG00000003147,0.343731914498653,0.113486222464538,0.0128791226892706,0.330159108531025,0.0374685100394455,0.183913524223727,0.000601589701509585,0.0165894606096393,0.000275210203318773,27.5760382333855,0.457471600042656,0.998787887815065
