ENSEMBL,MEAN,SD,VAR,CV,FF,GC
ENSG00000258984,0,0,0,NaN,NaN,NaN
ENSG00000132330,0.000878492569709567,0.0209217201243658,0.000437718372962291,23.8154776098819,0.498260757182047,0.99840215709608
ENSG00000144488,0,0,0,NaN,NaN,NaN
ENSG00000168427,0,0,0,NaN,NaN,NaN
ENSG00000178752,0,0,0,NaN,NaN,NaN
ENSG00000132323,0.0149728893617803,0.0848764358734732,0.0072040093665838,5.66867448377254,0.481136886309513,0.972759151844981
ENSG00000186235,0.00261092391588196,0.0358095835383697,0.00128232627319148,13.7152918629853,0.491138889720696,0.995268571545688
ENSG00000144485,0.00100544170637329,0.0209432817652425,0.000438621051098339,20.829931394816,0.436247122352303,0.997945327323506
ENSG00000132326,0.000138750086732114,0.00607539187245476,3.69103864038893e-05,43.7865807189337,0.266020636622394,0.999525836045169
ENSG00000268396,0,0,0,NaN,NaN,NaN
ENSG00000232306,0,0,0,NaN,NaN,NaN
ENSG00000204104,0.000364423938717019,0.0163763757774678,0.000268185683604835,44.9377058903485,0.735916758237676,0.999536483593793
ENSG00000065802,0.00574760879138194,0.0510758993023806,0.00260874748954693,8.88646064063453,0.453883968835618,0.988832200281202
ENSG00000229915,0,0,0,NaN,NaN,NaN
ENSG00000225493,0,0,0,NaN,NaN,NaN
ENSG00000234279,0,0,0,NaN,NaN,NaN
ENSG00000226992,0,0,0,NaN,NaN,NaN
ENSG00000233608,0,0,0,NaN,NaN,NaN
ENSG00000227744,0,0,0,NaN,NaN,NaN
ENSG00000260506,0,0,0,NaN,NaN,NaN
ENSG00000068024,0.00107912039667533,0.0233861515188999,0.000546912082864942,21.6714942938252,0.50681284919637,0.998081720408566
ENSG00000213828,0,0,0,NaN,NaN,NaN
ENSG00000222020,0.00389639885656555,0.0432859417358551,0.00187367275195984,11.1092173387016,0.480872934453988,0.992832778886502
ENSG00000196758,0,0,0,NaN,NaN,NaN
ENSG00000227459,0,0,0,NaN,NaN,NaN
ENSG00000259889,0,0,0,NaN,NaN,NaN
ENSG00000220256,0,0,0,NaN,NaN,NaN
ENSG00000130414,0.0341590927255356,0.128766746987725,0.0165808751298008,3.76961847383803,0.485401508260956,0.940707776209614
ENSG00000182083,0,0,0,NaN,NaN,NaN
ENSG00000221961,0,0,0,NaN,NaN,NaN
ENSG00000178586,0,0,0,NaN,NaN,NaN
ENSG00000267963,0,0,0,NaN,NaN,NaN
ENSG00000172428,0.0461181011997349,0.14935301668825,0.0223063235938807,3.23849015468809,0.483678274117864,0.921120667552974
ENSG00000178602,0,0,0,NaN,NaN,NaN
ENSG00000227479,0,0,0,NaN,NaN,NaN
ENSG00000063660,0,0,0,NaN,NaN,NaN
ENSG00000218416,0,0,0,NaN,NaN,NaN
ENSG00000144504,0.00438147342848075,0.0460955755897351,0.00212480208894898,10.5205649063399,0.484951494886903,0.991958685726336
ENSG00000188542,0.00692576494764225,0.0564176299616555,0.00318294897049029,8.14605034796364,0.459580854180428,0.986685589034131
ENSG00000142327,0.00862889720288022,0.0626978552458999,0.00393102105243582,7.26603339589816,0.455564710067897,0.983459786415664
ENSG00000260942,0.00141106474403079,0.0287369580638679,0.0008258127587645,20.3654426102228,0.58524087024208,0.997711765023787
ENSG00000142330,0.00500876004423652,0.0494921401196062,0.00244947193361873,9.88111622088102,0.489037588541957,0.990824440219287
ENSG00000178623,0.000289931829472388,0.0108275929706862,0.000117236769538853,37.3453062755822,0.404359775717617,0.99935176918118
ENSG00000185176,0,0,0,NaN,NaN,NaN
ENSG00000268822,0,0,0,NaN,NaN,NaN
ENSG00000219159,0,0,0,NaN,NaN,NaN
ENSG00000184945,0,0,0,NaN,NaN,NaN
ENSG00000130294,0,0,0,NaN,NaN,NaN
ENSG00000172482,0,0,0,NaN,NaN,NaN
ENSG00000172478,0,0,0,NaN,NaN,NaN
ENSG00000226321,0,0,0,NaN,NaN,NaN
ENSG00000223991,0,0,0,NaN,NaN,NaN
ENSG00000162804,0.000155150983172811,0.00738708935197854,5.45690890941147e-05,47.6122625903738,0.351716038004956,0.999579062791985
ENSG00000229996,0,0,0,NaN,NaN,NaN
ENSG00000225521,0,0,0,NaN,NaN,NaN
ENSG00000122085,0.0223809934355729,0.106246331516124,0.011288282960634,4.74716780655737,0.504369164538164,0.961744427879673
