ENSEMBL,RNAseq_MEAN,RNAseq_SD,RNAseq_VAR,RNAseq_CV,RNAseq_FF,RNAseq_GC,scRNAseq_MEAN,scRNAseq_SD,scRNAseq_VAR,scRNAseq_CV,scRNAseq_FF,scRNAseq_GC
ENSG00000000419,4.25295701151506,0.10202125039025,0.01040833553119,0.0239883098075111,0.00244731736131097,0.0135203296808455,0.00255147201973372,0.0347632074149662,0.00120848058977596,13.6247652908199,0.473640541785004,0.994696639890513
ENSG00000000457,2.5364832400252,0.113865385214421,0.0129653259500286,0.0448910457666932,0.00511153621890274,0.0252733797646588,0.00122424174093576,0.024034309523953,0.000577648034293176,19.6319964597695,0.471841479487249,0.997648606341226
ENSG00000000460,1.7036715480232,0.126718085923239,0.0160574733000494,0.0743794107909313,0.00942521656752513,0.0419075558251693,0.00102329001242058,0.0302308421834087,0.000913903819118164,29.5427902319676,0.893103429160163,0.998949358694106
ENSG00000000938,6.47122633849653,0.139811713816425,0.0195473153202858,0.0216051342517108,0.00302065084696563,0.0118561189998907,0.114704042587805,0.267579912037267,0.0715990093258718,2.33278536658757,0.624206503193325,0.857246300628122
ENSG00000000971,0.266650439555212,0.125691548845409,0.0157983654511579,0.471371991942222,0.0592474757495636,0.242301115512689,2.48366551820809e-06,0.000126934505117203,1.61123685893493e-08,51.1077293567225,0.00648733433355954,0.999617151607963
ENSG00000001036,4.00026131329945,0.0817131287199653,0.00667703540520561,0.0204269477217146,0.00166914980854047,0.0113971014222528,0.00835885249963332,0.0717589738738194,0.0051493503314235,8.58478766995437,0.616035554120543,0.987935254843237
ENSG00000001084,2.78815280629537,0.102160419407575,0.0104367512935316,0.0366408968607843,0.00374324939076743,0.0206472542634866,0.000843295960018993,0.0220240095173846,0.000485056995221846,26.1165836925017,0.575191887805227,0.998566771991861
ENSG00000001167,3.4959150236161,0.100803883603782,0.0101614229496049,0.0288347636950034,0.00290665616325369,0.0163049736653121,0.00204079590903067,0.0418507780223612,0.00175148762107695,20.5070863956403,0.858237520629325,0.997831763401001
ENSG00000001460,0.288591907514673,0.067312121967992,0.00453092176383383,0.233243276111509,0.0157000998498319,0.131850410360427,0.000252340134083114,0.0114664879830442,0.000131480346665297,45.4406035120337,0.521044134113011,0.999488366194959
ENSG00000001461,1.71366914466242,0.108893453656161,0.0118577842491665,0.0635440359040905,0.0069195295288475,0.0360708012599922,0.000146596013253751,0.00452078543615325,2.04375009597353e-05,30.8383927762618,0.139413756937298,0.99900819764117
ENSG00000001497,2.6474909103075,0.0899325677310742,0.00808786673870425,0.0339689807360392,0.0030549176607994,0.0189471558590842,0.00533054891507512,0.0575315001889995,0.00330987351399685,10.7927909687306,0.620925455657357,0.992334889170391
ENSG00000001561,1.80206772217731,0.290180822920694,0.0842049099909313,0.161026591481307,0.04672682882816,0.088749938639314,3.2992108090351e-05,0.000918785569879053,8.44166923417976e-07,27.8486469358945,0.0255869349453564,0.998824664312137
ENSG00000001629,3.66237149639463,0.0606202974076438,0.00367482045779118,0.0165521977951501,0.00100339915309215,0.00918604292728431,0.00316586269893722,0.0506761460580502,0.00256807177929684,16.0070574365282,0.8111759806131,0.996162298872982
ENSG00000001630,0.694023672512492,0.130517647244309,0.0170348562421898,0.188059359375756,0.0245450651279955,0.106664525717871,0.000718520607992104,0.0187968126201516,0.000353320164677092,26.1604363341492,0.491732819834409,0.998683338891238
ENSG00000001631,3.22667997578914,0.0805488752374376,0.00648812130201629,0.0249633914245673,0.00201077310136079,0.0137720833758729,0.00426686032536277,0.0497227505238117,0.00247235191965321,11.6532407279079,0.579431181507684,0.993411443182142
ENSG00000002016,2.57698638549236,0.138239549321092,0.0191101729964987,0.0536438803477342,0.00741570584310537,0.0302030890126065,0.000485030406832583,0.0155033459247206,0.00024035373486155,31.9636577549082,0.495543643193719,0.999096729904178
ENSG00000002330,2.08228620877982,0.292555481215486,0.0855887095892245,0.140497247679952,0.0411032399044596,0.0796008549609587,0.0173797665813617,0.101098807183676,0.0102209688139622,5.81704056325453,0.588095862284094,0.973303209657464
ENSG00000002549,5.00171816890551,0.329578325790232,0.108621872830692,0.0658930220897173,0.0217169119015878,0.0371988008833396,0.0150015032315199,0.0993737680525338,0.00987514577695879,6.62425401767325,0.658277082273326,0.978602447204402
ENSG00000002587,0.433649701506621,0.257256422044851,0.0661808666833184,0.593235556604951,0.152613656721975,0.324351480733332,0.00029254937729921,0.0142908078127352,0.000204227187940533,48.8492163089413,0.698094762073809,0.999567693755555
ENSG00000002822,2.71732054805998,0.168559952850175,0.0284124577048533,0.0620316778491657,0.0104560566934726,0.034901694655814,0.0101137259614103,0.0822150696260849,0.00675931767362198,8.12905846369409,0.668331107587124,0.985635015162695
ENSG00000002834,4.40556571376479,0.0982558397156576,0.009654210038229,0.0223026612470372,0.00219136670872149,0.0113580333934953,0.00790348276622246,0.0749375650851712,0.00561563866089428,9.48158771287969,0.710527096344682,0.9898212718495
ENSG00000002919,3.43215782031587,0.102372317922726,0.0104800914768718,0.0298273923526351,0.00305349929272986,0.0167877442149185,0.0055809259615886,0.0642978830333645,0.00413421776257222,11.5210062767187,0.740776314007116,0.99288095622467
ENSG00000002933,3.17666724901633,1.18615966474283,1.40697475026282,0.373397517511514,0.442909074187262,0.207021511699589,0.137949538659129,0.306450301367716,0.0939117872083641,2.22146666343662,0.680769128488487,0.846467613399235
